location_name_1,N_1,E_1,X_1,Y_1,location_name_2,N_2,E_2,X_2,Y_2
grab_1216908743.496,4561.285,-2505.292,-2386.365,4612.988,grab_1216904638.856,4565.736,-2509.247,-2390.198,4617.524
grab_1216908744.327,4558.958,-2502.501,-2383.641,4610.599,grab_1216904639.850,4555.531,-2496.81,-2378.056,4607.045
grab_1216908744.488,4550.067,-2490.968,-2372.368,4601.453,grab_1216904639.850,4555.531,-2496.81,-2378.056,4607.045
grab_1216908745.336,4550.067,-2490.968,-2372.368,4601.453,grab_1216904639.850,4555.531,-2496.81,-2378.056,4607.045
grab_1216908745.536,4539.268,-2476.16,-2357.879,4590.326,grab_1216904641.911,4542.086,-2478.571,-2360.213,4593.196
grab_1216908746.360,4539.268,-2476.16,-2357.879,4590.326,grab_1216904641.911,4542.086,-2478.571,-2360.213,4593.196
grab_1216908746.529,4528.829,-2461.038,-2343.069,4579.55,grab_1216904642.917,4532.682,-2465.198,-2347.12,4583.494
grab_1216908747.551,4524.744,-2454.929,-2337.083,4575.329,grab_1216904643.092,4525.408,-2454.267,-2336.407,4575.977
grab_1216908747.784,4514.606,-2439.608,-2322.066,4564.85,grab_1216904644.784,4518.118,-2443.266,-2325.625,4568.441
grab_1216908748.745,4502.331,-2421.316,-2304.143,4552.167,grab_1216904645.976,4505.127,-2423.899,-2306.649,4555.018
grab_1216908750.001,4502.331,-2421.316,-2304.143,4552.167,grab_1216904645.976,4505.127,-2423.899,-2306.649,4555.018
grab_1216908750.076,4494.287,-2409.262,-2292.331,4543.854,grab_1216904646.826,4497.672,-2412.79,-2295.764,4547.316
grab_1216908750.783,4494.287,-2409.262,-2292.331,4543.854,grab_1216904646.826,4497.672,-2412.79,-2295.764,4547.316
grab_1216908750.958,4484.344,-2394.336,-2277.703,4533.578,grab_1216904647.022,4488.358,-2398.718,-2281.972,4537.689
grab_1216908751.804,4482.354,-2391.403,-2274.831,4531.523,grab_1216904648.018,4480.814,-2387.481,-2270.962,4529.894
grab_1216908751.976,4474.355,-2379.822,-2263.488,4523.266,grab_1216904648.869,4476.995,-2381.884,-2265.479,4525.95
grab_1216908752.824,4474.355,-2379.822,-2263.488,4523.266,grab_1216904648.869,4476.995,-2381.884,-2265.479,4525.95
grab_1216908753.000,4464.224,-2365.788,-2249.754,4512.823,grab_1216904649.892,4469.13,-2370.881,-2254.709,4517.841
grab_1216908753.847,4462.174,-2363.038,-2247.064,4510.713,grab_1216904650.090,4458.984,-2357.525,-2241.65,4507.398
grab_1216908754.020,4453.932,-2352.302,-2236.569,4502.233,grab_1216904651.078,4456.876,-2354.888,-2239.075,4505.232
grab_1216908754.869,4451.824,-2349.677,-2234.005,4500.067,grab_1216904651.253,4448.606,-2344.543,-2228.969,4496.734
grab_1216908755.040,4443.253,-2339.554,-2224.128,4491.272,grab_1216904651.932,4446.496,-2341.998,-2226.485,4494.568
grab_1216908755.888,4441.011,-2337.075,-2221.714,4488.976,grab_1216904651.932,4446.496,-2341.998,-2226.485,4494.568
grab_1216908756.061,4432.506,-2327.264,-2212.146,4480.256,grab_1216904652.162,4431.623,-2324.587,-2209.501,4479.312
grab_1216908756.909,4432.506,-2327.264,-2212.146,4480.256,grab_1216904652.162,4431.623,-2324.587,-2209.501,4479.312
grab_1216908757.079,4419.373,-2313.182,-2198.435,4466.814,grab_1216904654.486,4418.303,-2310.559,-2195.848,4465.685
grab_1216908757.929,4419.373,-2313.182,-2198.435,4466.814,grab_1216904654.486,4418.303,-2310.559,-2195.848,4465.685
grab_1216908758.103,4408.1,-2302.018,-2187.586,4455.298,grab_1216904654.717,4409.205,-2301.55,-2187.094,4456.39
grab_1216908758.949,4408.1,-2302.018,-2187.586,4455.298,grab_1216904654.717,4409.205,-2301.55,-2187.094,4456.39
grab_1216908759.124,4394.458,-2289.04,-2174.987,4441.375,grab_1216904656.523,4397.785,-2290.314,-2176.176,4444.726
grab_1216908760.311,4394.458,-2289.04,-2174.987,4441.375,grab_1216904656.523,4397.785,-2290.314,-2176.176,4444.726
grab_1216908760.390,4389.81,-2284.803,-2170.878,4436.635,grab_1216904656.728,4385.98,-2279.678,-2165.865,4432.692
grab_1216908760.581,4380.344,-2276.453,-2162.788,4426.989,grab_1216904657.717,4376.383,-2271.393,-2157.843,4422.916
grab_1216908761.504,4375.526,-2272.338,-2158.805,4422.083,grab_1216904657.717,4376.383,-2271.393,-2157.843,4422.916
grab_1216908761.674,4368.211,-2266.372,-2153.038,4414.64,grab_1216904658.571,4373.945,-2269.381,-2155.898,4420.435
grab_1216908762.531,4365.772,-2264.395,-2151.127,4412.159,grab_1216904658.776,4361.789,-2259.507,-2146.354,4408.067
grab_1216908762.693,4353.423,-2254.827,-2141.893,4399.606,grab_1216904659.760,4351.823,-2251.903,-2139.019,4397.94
grab_1216908763.549,4350.963,-2252.964,-2140.096,4397.106,grab_1216904659.760,4351.823,-2251.903,-2139.019,4397.94
grab_1216908763.716,4340.876,-2245.794,-2133.196,4386.868,grab_1216904660.609,4347.016,-2248.088,-2135.335,4393.052
grab_1216908764.572,4340.876,-2245.794,-2133.196,4386.868,grab_1216904660.609,4347.016,-2248.088,-2135.335,4393.052
grab_1216908764.747,4328.381,-2236.924,-2124.66,4374.185,grab_1216904660.815,4334.304,-2238.994,-2126.581,4380.147
grab_1216908765.608,4328.381,-2236.924,-2124.66,4374.185,grab_1216904660.815,4334.304,-2238.994,-2126.581,4380.147
grab_1216908765.759,4315.259,-2228.694,-2116.777,4360.892,grab_1216904662.648,4318.134,-2228.658,-2116.673,4363.761
grab_1216908766.613,4312.571,-2227.091,-2115.244,4358.17,grab_1216904662.648,4318.134,-2228.658,-2116.673,4363.761
grab_1216908766.781,4304.484,-2222.394,-2110.759,4349.986,grab_1216904663.844,4303.99,-2220.531,-2108.916,4349.449
grab_1216908767.459,4299.066,-2219.346,-2107.853,4344.506,grab_1216904663.844,4303.99,-2220.531,-2108.916,4349.449
grab_1216908767.798,4288.04,-2213.465,-2102.259,4333.36,grab_1216904664.696,4292.285,-2214.347,-2103.036,4337.619
grab_1216908768.655,4288.04,-2213.465,-2102.259,4333.36,grab_1216904664.696,4292.285,-2214.347,-2103.036,4337.619
grab_1216908768.825,4273.906,-2206.488,-2095.647,4319.085,grab_1216904664.894,4277.196,-2206.933,-2096.012,4322.381
grab_1216908769.675,4271.082,-2205.134,-2094.366,4316.234,grab_1216904664.894,4277.196,-2206.933,-2096.012,4322.381
grab_1216908769.848,4256.845,-2198.557,-2088.155,4301.867,grab_1216904665.882,4261.747,-2199.879,-2089.355,4306.792
grab_1216908770.696,4253.983,-2197.236,-2086.908,4298.978,grab_1216904665.882,4261.747,-2199.879,-2089.355,4306.792
grab_1216908770.861,4242.586,-2192.174,-2082.138,4287.481,grab_1216904666.737,4243.004,-2191.724,-2081.68,4287.888
grab_1216908771.715,4242.586,-2192.174,-2082.138,4287.481,grab_1216904666.737,4243.004,-2191.724,-2081.68,4287.888
grab_1216908771.882,4231.167,-2187.227,-2077.483,4275.965,grab_1216904667.924,4233.585,-2187.686,-2077.883,4278.39
grab_1216908772.739,4231.167,-2187.227,-2077.483,4275.965,grab_1216904667.924,4233.585,-2187.686,-2077.883,4278.39
grab_1216908772.904,4216.937,-2181.155,-2071.775,4261.616,grab_1216904669.014,4211.797,-2178.126,-2068.881,4256.413
grab_1216908773.757,4211.282,-2178.735,-2069.499,4255.913,grab_1216904669.014,4211.797,-2178.126,-2068.881,4256.413
grab_1216908773.924,4202.95,-2175.021,-2065.999,4247.507,grab_1216904670.137,4202.529,-2173.999,-2064.992,4247.063
grab_1216908774.781,4202.95,-2175.021,-2065.999,4247.507,grab_1216904670.137,4202.529,-2173.999,-2064.992,4247.063
grab_1216908774.951,4186.403,-2167.32,-2058.724,4230.807,grab_1216904671.157,4181.136,-2164.172,-2055.715,4225.475
grab_1216908775.801,4183.67,-2166.037,-2057.511,4228.049,grab_1216904671.157,4181.136,-2164.172,-2055.715,4225.475
grab_1216908775.966,4175.584,-2162.11,-2053.793,4219.884,grab_1216904672.016,4178.11,-2162.722,-2054.342,4222.42
grab_1216908776.652,4170.175,-2159.477,-2051.3,4214.422,grab_1216904672.179,4169.07,-2158.359,-2050.212,4213.292
grab_1216908776.987,4159.526,-2154.133,-2046.232,4203.665,grab_1216904672.861,4166.082,-2156.886,-2048.817,4210.274
grab_1216908777.842,4159.526,-2154.133,-2046.232,4203.665,grab_1216904672.861,4166.082,-2156.886,-2048.817,4210.274
grab_1216908778.009,4146.443,-2147.387,-2039.825,4190.445,grab_1216904673.063,4151.145,-2149.326,-2041.644,4195.185
grab_1216908778.862,4143.842,-2146.027,-2038.532,4187.816,grab_1216904674.056,4139.329,-2143.127,-2035.752,4183.243
grab_1216908779.032,4133.472,-2140.644,-2033.418,4177.337,grab_1216904674.901,4136.398,-2141.575,-2034.276,4180.281
grab_1216908779.882,4133.472,-2140.644,-2033.418,4177.337,grab_1216904674.901,4136.398,-2141.575,-2034.276,4180.281
grab_1216908780.062,4118.219,-2132.318,-2025.49,4161.914,grab_1216904675.105,4119.026,-2131.911,-2025.066,4162.71
grab_1216908780.904,4115.731,-2130.88,-2024.117,4159.396,grab_1216904676.099,4116.172,-2130.246,-2023.475,4159.822
grab_1216908781.074,4108.379,-2126.476,-2019.906,4151.953,grab_1216904676.945,4107.78,-2125.162,-2018.612,4151.324
grab_1216908781.925,4108.379,-2126.476,-2019.906,4151.953,grab_1216904676.945,4107.78,-2125.162,-2018.612,4151.324
grab_1216908782.094,4094.352,-2117.316,-2011.118,4137.734,grab_1216904677.144,4094.244,-2116.382,-2010.191,4137.604
grab_1216908782.947,4092.107,-2115.791,-2009.653,4135.456,grab_1216904677.144,4094.244,-2116.382,-2010.191,4137.604
grab_1216908783.117,4083.386,-2109.677,-2003.772,4126.606,grab_1216904678.143,4081.216,-2107.303,-2001.459,4124.385
grab_1216908783.969,4083.386,-2109.677,-2003.772,4126.606,grab_1216904678.143,4081.216,-2107.303,-2001.459,4124.385
grab_1216908784.136,4072.998,-2101.89,-1996.264,4116.053,grab_1216904678.986,4078.682,-2105.427,-1999.651,4121.811
grab_1216908784.990,4070.958,-2100.313,-1994.742,4113.979,grab_1216904679.191,4066.349,-2096.008,-1990.565,4109.277
grab_1216908785.167,4062.93,-2093.915,-1988.563,4105.814,grab_1216904679.191,4066.349,-2096.008,-1990.565,4109.277
grab_1216908786.012,4062.93,-2093.915,-1988.563,4105.814,grab_1216904679.191,4066.349,-2096.008,-1990.565,4109.277
grab_1216908786.179,4053.069,-2085.83,-1980.746,4095.779,grab_1216904680.180,4054.465,-2086.369,-1981.249,4097.186
grab_1216908787.031,4051.123,-2084.175,-1979.144,4093.798,grab_1216904680.180,4054.465,-2086.369,-1981.249,4097.186
grab_1216908787.198,4043.38,-2077.496,-1972.677,4085.911,grab_1216904682.050,4043.141,-2076.594,-1971.784,4085.652
grab_1216908788.054,4043.38,-2077.496,-1972.677,4085.911,grab_1216904682.050,4043.141,-2076.594,-1971.784,4085.652
grab_1216908788.219,4033.825,-2068.982,-1964.426,4076.172,grab_1216904682.250,4032.351,-2067.015,-1962.503,4074.654
grab_1216908789.074,4029.993,-2065.534,-1961.084,4072.266,grab_1216904682.250,4032.351,-2067.015,-1962.503,4074.654
grab_1216908789.239,4024.308,-2060.468,-1956.174,4066.471,grab_1216904683.073,4022.087,-2057.897,-1953.667,4064.193
grab_1216908790.099,4024.308,-2060.468,-1956.174,4066.471,grab_1216904683.073,4022.087,-2057.897,-1953.667,4064.193
grab_1216908790.275,4015.118,-2052.203,-1948.162,4057.102,grab_1216904684.287,4012.517,-2049.267,-1945.301,4054.436
grab_1216908791.115,4013.32,-2050.597,-1946.606,4055.269,grab_1216904684.287,4012.517,-2049.267,-1945.301,4054.436
grab_1216908791.283,4004.622,-2042.7,-1938.949,4046.401,grab_1216904685.113,4003.567,-2041.031,-1937.312,4045.308
grab_1216908792.136,4002.971,-2041.144,-1937.438,4044.716,grab_1216904685.113,4003.567,-2041.031,-1937.312,4045.308
grab_1216908792.307,3999.689,-2037.996,-1934.382,4041.365,grab_1216904686.136,4001.88,-2039.439,-1935.767,4043.586
grab_1216908792.985,3995.056,-2033.116,-1929.632,4036.625,grab_1216904686.308,3996.039,-2033.093,-1929.586,4037.606
grab_1216908793.329,3989.481,-2026.5,-1923.176,4030.904,grab_1216904687.387,3987.105,-2021.867,-1918.62,4028.423
grab_1216908794.178,3989.481,-2026.5,-1923.176,4030.904,grab_1216904687.387,3987.105,-2021.867,-1918.62,4028.423
grab_1216908794.347,3983.948,-2018.079,-1914.923,4025.183,grab_1216904688.861,3983.297,-2015.822,-1912.69,4024.479
grab_1216908795.199,3980.053,-2009.456,-1906.428,4021.091,grab_1216904690.221,3980.981,-2010.995,-1907.939,4022.054
grab_1216908796.221,3979.519,-2007.684,-1904.676,4020.517,grab_1216904691.408,3978.808,-2005.609,-1902.627,4019.758
grab_1216908796.389,3977.328,-1995.973,-1893.066,4018.055,grab_1216904693.794,3977.83,-1994.317,-1891.406,4018.517
grab_1216908797.752,3976.32,-1987.567,-1884.72,4016.851,grab_1216904694.813,3975.786,-1984.231,-1881.411,4016.24
grab_1216908798.773,3975.876,-1985.947,-1883.117,4016.37,grab_1216904694.813,3975.786,-1984.231,-1881.411,4016.24
grab_1216908798.943,3971.128,-1978.085,-1875.401,4011.445,grab_1216904696.006,3970.623,-1978.246,-1875.573,4010.945
grab_1216908800.307,3963.467,-1974.996,-1872.507,4003.724,grab_1216904697.370,3961.186,-1975.793,-1873.355,4001.465
grab_1216908801.329,3962.022,-1974.939,-1872.484,4002.28,grab_1216904697.370,3961.186,-1975.793,-1873.355,4001.465
grab_1216908801.498,3952.855,-1976.759,-1874.515,3993.171,grab_1216904698.392,3952.942,-1977.025,-1874.778,3993.263
grab_1216908802.853,3951.248,-1977.273,-1875.065,3991.579,grab_1216904698.392,3952.942,-1977.025,-1874.778,3993.263
grab_1216908803.026,3938.633,-1981.403,-1879.478,3979.081,grab_1216904699.578,3938.203,-1980.761,-1878.848,3978.637
grab_1216908804.390,3928.165,-1984.182,-1882.493,3968.694,grab_1216904701.139,3930.476,-1982.879,-1881.141,3970.972
grab_1216908805.418,3928.165,-1984.182,-1882.493,3968.694,grab_1216904701.139,3930.476,-1982.879,-1881.141,3970.972
grab_1216908805.581,3917.459,-1986.759,-1885.314,3958.067,grab_1216904702.980,3918.584,-1986.233,-1884.764,3959.178
grab_1216908806.430,3915.278,-1987.236,-1885.842,3955.901,grab_1216904702.980,3918.584,-1986.233,-1884.764,3959.178
grab_1216908806.597,3906.079,-1988.883,-1887.7,3946.754,grab_1216904704.002,3907.812,-1988.498,-1887.276,3948.476
grab_1216908807.452,3903.678,-1989.218,-1888.09,3944.366,grab_1216904704.002,3907.812,-1988.498,-1887.276,3948.476
grab_1216908807.619,3893.752,-1990.226,-1889.331,3934.479,grab_1216904705.021,3896.225,-1989.928,-1888.975,3936.942
